InvoiceDate,Sales,Year,Month,Day,DayOfWeek,WeekOfYear,Lag_1,Lag_7,Rolling_7
2010-12-08,45235.36,2010,12,8,2,49,99553.85,58776.79,46472.291428571436
2010-12-09,53548.19,2010,12,9,3,49,45235.36,47629.42,47317.83
2010-12-10,59021.02,2010,12,10,4,49,53548.19,46898.63,49049.6
2010-12-11,0.0,2010,12,11,5,49,59021.02,0.0,49049.59999999999
2010-12-12,17125.65,2010,12,12,6,49,0.0,31364.63,47015.46000000001
2010-12-13,37942.37,2010,12,13,0,50,17125.65,54624.15,44632.34857142857
2010-12-14,45167.56,2010,12,14,1,50,37942.37,99553.85,36862.87857142857
2010-12-15,30384.37,2010,12,15,2,50,45167.56,45235.36,34741.30857142857
2010-12-16,49114.14,2010,12,16,3,50,30384.37,53548.19,34107.87285714286
2010-12-17,45338.13,2010,12,17,4,50,49114.14,59021.02,32153.174285714285
2010-12-18,0.0,2010,12,18,5,50,45338.13,0.0,32153.174285714285
2010-12-19,7410.47,2010,12,19,6,50,0.0,17125.65,30765.29142857143
2010-12-20,26766.23,2010,12,20,0,51,7410.47,37942.37,29168.7
2010-12-21,47279.89,2010,12,21,1,51,26766.23,45167.56,29470.46142857143
2010-12-22,6199.97,2010,12,22,2,51,47279.89,30384.37,26015.547142857144
2010-12-23,12071.91,2010,12,23,3,51,6199.97,49114.14,20723.8
2010-12-24,0.0,2010,12,24,4,51,12071.91,45338.13,14246.924285714285
2010-12-25,0.0,2010,12,25,5,51,0.0,0.0,14246.924285714285
2010-12-26,0.0,2010,12,26,6,51,0.0,7410.47,13188.285714285716
2010-12-27,0.0,2010,12,27,0,52,0.0,26766.23,9364.538571428571
2010-12-28,0.0,2010,12,28,1,52,0.0,47279.89,2610.2685714285717
2010-12-29,0.0,2010,12,29,2,52,0.0,6199.97,1724.5585714285714
2010-12-30,0.0,2010,12,30,3,52,0.0,12071.91,0.0
2010-12-31,0.0,2010,12,31,4,52,0.0,0.0,0.0
2011-01-01,0.0,2011,1,1,5,52,0.0,0.0,0.0
2011-01-02,0.0,2011,1,2,6,52,0.0,0.0,0.0
2011-01-03,0.0,2011,1,3,0,1,0.0,0.0,0.0
2011-01-04,16005.73,2011,1,4,1,1,0.0,0.0,2286.532857142857
2011-01-05,32630.27,2011,1,5,2,1,16005.73,0.0,6948.0
2011-01-06,40366.45,2011,1,6,3,1,32630.27,0.0,12714.635714285714
2011-01-07,28836.59,2011,1,7,4,1,40366.45,0.0,16834.14857142857
2011-01-08,0.0,2011,1,8,5,1,28836.59,0.0,16834.14857142857
2011-01-09,15590.68,2011,1,9,6,1,0.0,0.0,19061.38857142857
2011-01-10,24553.07,2011,1,10,0,2,15590.68,0.0,22568.97
2011-01-11,68630.54,2011,1,11,1,2,24553.07,16005.73,30086.799999999996
2011-01-12,24664.579999999998,2011,1,12,2,2,68630.54,32630.27,28948.844285714284
2011-01-13,20612.79,2011,1,13,3,2,24664.579999999998,40366.45,26126.89285714285
2011-01-14,47554.58,2011,1,14,4,2,20612.79,28836.59,28800.891428571427
2011-01-15,0.0,2011,1,15,5,2,47554.58,0.0,28800.891428571427
2011-01-16,6976.39,2011,1,16,6,2,0.0,15590.68,27570.278571428567
2011-01-17,29262.72,2011,1,17,0,3,6976.39,24553.07,28243.08571428571
2011-01-18,95947.73000000001,2011,1,18,1,3,29262.72,68630.54,32145.54142857143
2011-01-19,25874.57,2011,1,19,2,3,95947.73000000001,24664.579999999998,32318.397142857146
2011-01-20,21199.34,2011,1,20,3,3,25874.57,20612.79,32402.190000000002
2011-01-21,32636.55,2011,1,21,4,3,21199.34,47554.58,30271.042857142857
2011-01-22,0.0,2011,1,22,5,3,32636.55,0.0,30271.042857142857
2011-01-23,10306.1,2011,1,23,6,3,0.0,6976.39,30746.715714285714
2011-01-24,25494.49,2011,1,24,0,4,10306.1,29262.72,30208.397142857146
2011-01-25,28952.55,2011,1,25,1,4,25494.49,95947.73000000001,20637.657142857144
2011-01-26,19855.92,2011,1,26,2,4,28952.55,25874.57,19777.85
2011-01-27,23624.3,2011,1,27,3,4,19855.92,21199.34,20124.272857142856
2011-01-28,20064.35,2011,1,28,4,4,23624.3,32636.55,18328.244285714285
2011-01-29,0.0,2011,1,29,5,4,20064.35,0.0,18328.244285714285
2011-01-30,6542.61,2011,1,30,6,4,0.0,10306.1,17790.602857142858
2011-01-31,23628.71,2011,1,31,0,5,6542.61,25494.49,17524.062857142857
2011-02-01,29013.29,2011,2,1,1,5,23628.71,28952.55,17532.739999999998
2011-02-02,21162.12,2011,2,2,2,5,29013.29,19855.92,17719.34
2011-02-03,23467.73,2011,2,3,3,5,21162.12,23624.3,17696.972857142857
2011-02-04,25135.84,2011,2,4,4,5,23467.73,20064.35,18421.47142857143
2011-02-05,0.0,2011,2,5,5,5,25135.84,0.0,18421.47142857143
2011-02-06,3439.67,2011,2,6,6,5,0.0,6542.61,17978.194285714286
2011-02-07,25922.97,2011,2,7,0,6,3439.67,23628.71,18305.945714285714
2011-02-08,20935.23,2011,2,8,1,6,25922.97,29013.29,17151.937142857143
2011-02-09,16682.63,2011,2,9,2,6,20935.23,21162.12,16512.010000000002
2011-02-10,14853.31,2011,2,10,3,6,16682.63,23467.73,15281.378571428571
2011-02-11,22853.6,2011,2,11,4,6,14853.31,25135.84,14955.344285714285
2011-02-12,0.0,2011,2,12,5,6,22853.6,0.0,14955.344285714285
2011-02-13,5645.48,2011,2,13,6,6,0.0,3439.67,15270.460000000001
2011-02-14,26668.91,2011,2,14,0,7,5645.48,25922.97,15377.022857142858
2011-02-15,39841.71,2011,2,15,1,7,26668.91,20935.23,18077.948571428573
2011-02-16,24863.85,2011,2,16,2,7,39841.71,16682.63,19246.694285714282
2011-02-17,26357.52,2011,2,17,3,7,24863.85,14853.31,20890.152857142857
2011-02-18,16184.42,2011,2,18,4,7,26357.52,22853.6,19937.412857142856
2011-02-19,0.0,2011,2,19,5,7,16184.42,0.0,19937.412857142856
2011-02-20,9437.8,2011,2,20,6,7,0.0,5645.48,20479.17285714286
2011-02-21,36311.4,2011,2,21,0,8,9437.8,26668.91,21856.67142857143
2011-02-22,32454.5,2011,2,22,1,8,36311.4,39841.71,20801.355714285713
2011-02-23,26859.5,2011,2,23,2,8,32454.5,24863.85,21086.44857142857
2011-02-24,22800.89,2011,2,24,3,8,26859.5,26357.52,20578.358571428573
2011-02-25,20595.19,2011,2,25,4,8,22800.89,16184.42,21208.46857142857
2011-02-26,0.0,2011,2,26,5,8,20595.19,0.0,21208.46857142857
2011-02-27,9382.71,2011,2,27,6,8,0.0,9437.8,21200.598571428567
2011-02-28,21675.29,2011,2,28,0,9,9382.71,36311.4,19109.725714285712
2011-03-01,26344.68,2011,3,1,1,9,21675.29,32454.5,18236.894285714287
2011-03-02,18669.94,2011,3,2,2,9,26344.68,26859.5,17066.957142857143
2011-03-03,36367.14,2011,3,3,3,9,18669.94,22800.89,19004.992857142854
2011-03-04,19486.88,2011,3,4,4,9,36367.14,20595.19,18846.66285714286
2011-03-05,0.0,2011,3,5,5,9,19486.88,0.0,18846.66285714286
2011-03-06,9959.62,2011,3,6,6,9,0.0,9382.71,18929.07857142857
2011-03-07,32318.72,2011,3,7,0,10,9959.62,21675.29,20449.568571428572
2011-03-08,25035.12,2011,3,8,1,10,32318.72,26344.68,20262.48857142857
2011-03-09,22013.2,2011,3,9,2,10,25035.12,18669.94,20740.097142857143
2011-03-10,26118.27,2011,3,10,3,10,22013.2,36367.14,19275.972857142857
2011-03-11,25473.93,2011,3,11,4,10,26118.27,19486.88,20131.265714285717
2011-03-12,0.0,2011,3,12,5,10,25473.93,0.0,20131.265714285717
2011-03-13,4117.22,2011,3,13,6,10,0.0,9959.62,19296.63714285714
2011-03-14,25876.63,2011,3,14,0,11,4117.22,32318.72,18376.338571428572
2011-03-15,23453.34,2011,3,15,1,11,25876.63,25035.12,18150.37
2011-03-16,21842.81,2011,3,16,2,11,23453.34,22013.2,18126.028571428575
2011-03-17,39852.51,2011,3,17,3,11,21842.81,26118.27,20088.062857142857
2011-03-18,28107.65,2011,3,18,4,11,39852.51,25473.93,20464.308571428573
2011-03-19,0.0,2011,3,19,5,11,28107.65,0.0,20464.308571428573
2011-03-20,21949.68,2011,3,20,6,11,0.0,4117.22,23011.802857142855
2011-03-21,16679.47,2011,3,21,0,12,21949.68,25876.63,21697.92285714286
2011-03-22,31468.23,2011,3,22,1,12,16679.47,23453.34,22842.907142857144
2011-03-23,24078.89,2011,3,23,2,12,31468.23,21842.81,23162.347142857147
2011-03-24,36496.79,2011,3,24,3,12,24078.89,39852.51,22682.958571428575
2011-03-25,31362.56,2011,3,25,4,12,36496.79,28107.65,23147.945714285717
2011-03-26,0.0,2011,3,26,5,12,31362.56,0.0,23147.945714285717
2011-03-27,9206.72,2011,3,27,6,12,0.0,21949.68,21327.522857142856
2011-03-28,23133.23,2011,3,28,0,13,9206.72,16679.47,22249.48857142857
2011-03-29,70711.92,2011,3,29,1,13,23133.23,31468.23,27855.730000000003
2011-03-30,31821.71,2011,3,30,2,13,70711.92,24078.89,28961.847142857143
2011-03-31,34268.4,2011,3,31,3,13,31821.71,36496.79,28643.50571428572
2011-04-01,25565.64,2011,4,1,4,13,34268.4,31362.56,27815.374285714286
2011-04-02,0.0,2011,4,2,5,13,25565.64,0.0,27815.374285714286
2011-04-03,6897.18,2011,4,3,6,13,0.0,9206.72,27485.44
2011-04-04,33234.48,2011,4,4,0,14,6897.18,23133.23,28928.475714285716
2011-04-05,30052.82,2011,4,5,1,14,33234.48,70711.92,23120.032857142858
2011-04-06,17338.36,2011,4,6,2,14,30052.82,31821.71,21050.98285714286
2011-04-07,18465.44,2011,4,7,3,14,17338.36,34268.4,18793.417142857146
2011-04-08,25240.59,2011,4,8,4,14,18465.44,25565.64,18746.981428571427
2011-04-09,0.0,2011,4,9,5,14,25240.59,0.0,18746.981428571427
2011-04-10,9879.75,2011,4,10,6,14,0.0,6897.18,19173.062857142857
2011-04-11,22345.93,2011,4,11,0,15,9879.75,33234.48,17617.555714285714
2011-04-12,25534.94,2011,4,12,1,15,22345.93,30052.82,16972.144285714287
2011-04-13,24450.27,2011,4,13,2,15,25534.94,17338.36,17988.131428571425
2011-04-14,36084.1,2011,4,14,3,15,24450.27,18465.44,20505.08285714286
2011-04-15,28311.821,2011,4,15,4,15,36084.1,25240.59,20943.830142857147
2011-04-16,0.0,2011,4,16,5,15,28311.821,0.0,20943.830142857147
2011-04-17,12630.34,2011,4,17,6,15,0.0,9879.75,21336.771571428573
2011-04-18,55983.99,2011,4,18,0,16,12630.34,22345.93,26142.208714285716
2011-04-19,24296.85,2011,4,19,1,16,55983.99,25534.94,25965.338714285714
2011-04-20,28667.32,2011,4,20,2,16,24296.85,24450.27,26567.77442857143
2011-04-21,32582.2,2011,4,21,3,16,28667.32,36084.1,26067.503
2011-04-22,0.0,2011,4,22,4,16,32582.2,28311.821,22022.957142857143
2011-04-23,0.0,2011,4,23,5,16,0.0,0.0,22022.957142857143
2011-04-24,0.0,2011,4,24,6,16,0.0,12630.34,20218.62285714286
2011-04-25,0.0,2011,4,25,0,17,0.0,55983.99,12220.91
2011-04-26,30999.88,2011,4,26,1,17,0.0,24296.85,13178.485714285713
2011-04-27,25916.15,2011,4,27,2,17,30999.88,28667.32,12785.46142857143
2011-04-28,22490.44,2011,4,28,3,17,25916.15,32582.2,11343.781428571428
2011-04-29,0.0,2011,4,29,4,17,22490.44,0.0,11343.781428571428
2011-04-30,0.0,2011,4,30,5,17,0.0,0.0,11343.781428571428
2011-05-01,6958.11,2011,5,1,6,17,0.0,0.0,12337.797142857144
2011-05-02,0.0,2011,5,2,0,18,6958.11,0.0,12337.797142857144
2011-05-03,35196.21,2011,5,3,1,18,0.0,30999.88,12937.272857142858
2011-05-04,27521.96,2011,5,4,2,18,35196.21,25916.15,13166.674285714285
2011-05-05,29133.41,2011,5,5,3,18,27521.96,22490.44,14115.669999999998
2011-05-06,36122.98,2011,5,6,4,18,29133.41,0.0,19276.09571428571
2011-05-07,0.0,2011,5,7,5,18,36122.98,0.0,19276.09571428571
2011-05-08,18731.98,2011,5,8,6,18,0.0,6958.11,20958.077142857142
2011-05-09,27883.46,2011,5,9,0,19,18731.98,0.0,24941.428571428572
2011-05-10,47756.53,2011,5,10,1,19,27883.46,35196.21,26735.760000000002
2011-05-11,33647.85,2011,5,11,2,19,47756.53,27521.96,27610.887142857147
2011-05-12,61829.27,2011,5,12,3,19,33647.85,29133.41,32281.72428571429
2011-05-13,30679.84,2011,5,13,4,19,61829.27,36122.98,31504.132857142857
2011-05-14,0.0,2011,5,14,5,19,30679.84,0.0,31504.132857142857
2011-05-15,9911.38,2011,5,15,6,19,0.0,18731.98,30244.04714285714
2011-05-16,39651.28,2011,5,16,0,20,9911.38,27883.46,31925.164285714283
2011-05-17,55106.99,2011,5,17,1,20,39651.28,47756.53,32975.229999999996
2011-05-18,34376.26,2011,5,18,2,20,55106.99,33647.85,33079.28857142857
2011-05-19,35567.71,2011,5,19,3,20,34376.26,61829.27,29327.63714285714
2011-05-20,26579.95,2011,5,20,4,20,35567.71,30679.84,28741.93857142857
2011-05-21,0.0,2011,5,21,5,20,26579.95,0.0,28741.93857142857
2011-05-22,24102.0,2011,5,22,6,20,0.0,9911.38,30769.170000000002
2011-05-23,34610.64,2011,5,23,0,21,24102.0,39651.28,30049.07857142857
2011-05-24,37658.39,2011,5,24,1,21,34610.64,55106.99,27556.42142857143
2011-05-25,24393.9,2011,5,25,2,21,37658.39,34376.26,26130.37
2011-05-26,33497.03,2011,5,26,3,21,24393.9,35567.71,25834.558571428573
2011-05-27,28387.93,2011,5,27,4,21,33497.03,26579.95,26092.84142857143
2011-05-28,0.0,2011,5,28,5,21,28387.93,0.0,26092.84142857143
2011-05-29,7338.9400000000005,2011,5,29,6,21,0.0,24102.0,23698.11857142857
